filedFor,industry,total_value,portfolio_value,sector_percentage,sector_price_index,year_quarter
2022-03-31,Consumer Cyclical,5547212000,362601424000,1.5298373455918917,1462.68994140625,2022Q1
2022-03-31,Consumer Defensive,41037849000,362601424000,11.31761937040821,791.469970703125,2022Q1
2022-03-31,Energy,33656777000,362601424000,9.2820311152446,581.9299926757812,2022Q1
2022-03-31,Financial Services,98017115000,362601424000,27.031640945789558,637.6099853515625,2022Q1
2022-03-31,Healthcare,5093545000,362601424000,1.4047228341828022,1594.81005859375,2022Q1
2022-03-31,Industrials,12739000,362601424000,0.0035132239304167764,870.4600219726562,2022Q1
2022-03-31,Real Estate,431283000,362601424000,0.1189413420505486,302.4200134277344,2022Q1
2022-03-31,Technology,163611086000,362601424000,45.121468138525564,2794.080078125,2022Q1
2022-06-30,Basic Materials,1076922000,299647793000,0.35939593921854784,463.1600036621094,2022Q2
2022-06-30,Communication Services,12567005000,299647793000,4.193925432983249,186.02999877929688,2022Q2
2022-06-30,Consumer Cyclical,3573775000,299647793000,1.192658542290682,1077.780029296875,2022Q2
2022-06-30,Consumer Defensive,40146809000,299647793000,13.397999230383117,750.0499877929688,2022Q2
2022-06-30,Energy,32708712000,299647793000,10.915719309169083,546.239990234375,2022Q2
2022-06-30,Financial Services,76637108000,299647793000,25.57572916947865,523.3499755859375,2022Q2
2022-06-30,Healthcare,3987597000,299647793000,1.3307613448699753,1494.31005859375,2022Q2
2022-06-30,Industrials,10843000,299647793000,0.0036185816326035816,738.4099731445312,2022Q2
2022-06-30,Real Estate,180693000,299647793000,0.060301795715211555,255.77000427246094,2022Q2
2022-06-30,Technology,128758329000,299647793000,42.96989065425888,2222.9599609375,2022Q2
2022-09-30,Basic Materials,877219000,291405615000,0.30103023237901577,427.7699890136719,2022Q3
2022-09-30,Communication Services,10947176000,291405615000,3.756679842974199,162.00999450683594,2022Q3
2022-09-30,Consumer Cyclical,3726325000,291405615000,1.2787416604858488,1122.31005859375,2022Q3
2022-09-30,Consumer Defensive,35538691000,291405615000,12.195609545821553,695.780029296875,2022Q3
2022-09-30,Energy,35700082000,291405615000,12.250993173209789,552.5599975585938,2022Q3
2022-09-30,Financial Services,70649387000,291405615000,24.24434649277434,504.3900146484375,2022Q3
2022-09-30,Healthcare,4128086000,291405615000,1.4166116874583903,1411.3599853515625,2022Q3
2022-09-30,Industrials,306287000,291405615000,0.10510675986802794,700.5999755859375,2022Q3
2022-09-30,Technology,129532362000,291405615000,44.450880605028836,2079.85009765625,2022Q3
2022-12-31,Basic Materials,992769110,299007622119,0.3320213387754024,489.54998779296875,2022Q4
2022-12-31,Communication Services,10624682597,299007622119,3.5533149696001916,159.3699951171875,2022Q4
2022-12-31,Consumer Cyclical,3541343800,299007622119,1.1843657278377355,1005.47998046875,2022Q4
2022-12-31,Consumer Defensive,41015919165,299007622119,13.717349034225071,779.1300048828125,2022Q4
2022-12-31,Energy,41494731571,299007622119,13.877482880515265,672.3400268554688,2022Q4
2022-12-31,Financial Services,73743512004,299007622119,24.66275323732427,569.739990234375,2022Q4
2022-12-31,Healthcare,3824198839,299007622119,1.2789636638353097,1585.5400390625,2022Q4
2022-12-31,Industrials,427384709,299007622119,0.14293438607725795,831.4000244140625,2022Q4
2022-12-31,Technology,123343080324,299007622119,41.250814761809494,2172.169921875,2022Q4
2023-03-31,Basic Materials,960302652,325108752692,0.29537889830661285,507.9200134277344,2023Q1
